post_id;post_link;post_type;comment_id;comment_pt;comment_en;timestamp;source_account;terreiro_size;data_collection_date;sentiment_vader_pt;sentiment_vader_en;sentiment_oplexicon;label_manual;notes;comment_length;emoji_count;religious_terms;interaction_type
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;1;Minha avó de Santo linda mó jubá Mãe Ana Ty Sángö;My beautiful grandmother from Santo, Mother Ana Ty Sángö;11.09.25;afonja_ba;27500;12.09.25;0,765;0,7579;;;;49;;4,0;congratulations
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;2;Axé 🙌🏾;Axé 🙌🏾;12.09.25;afonja_ba;27500;12.09.25;0,5423;0,5423;;;;8;1,0;1,0;axé
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;3;Sua benção yá Ana que Olorún, sangô e ósún abençoe ricamente e sempre e lhe dê vida longa.;Your blessing, Ana, may Olorún, Sangô, and ósún bless you richly and always and grant you a long life.;11.09.25;afonja_ba;27500;12.09.25;0,8885;0,886;;;;90;;4,0;blessing
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;4;👏👏👏👏;👏👏👏👏;11.09.25;afonja_ba;27500;12.09.25;0,0;0,0;;;;8;4,0;;emoji_only
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;5;Feliz aniversário, Mãe Ana. Sua benção, vida longa pra senhora!🎁🎂🎊🎉🍭🍬🙏🏽🙏🏽☘️☘️👏🏾👏🏾👏🏾😘;Happy birthday, Mother Ana. Bless you, and may you live a long life!🎁🎂🎊🎉🍭🍬🙏🏽🙏🏽☘️☘️👏🏾👏🏾👏🏾😘;11.09.25;afonja_ba;27500;12.09.25;0,8221;0,9348;;;;101;15,0;1,0;congratulations
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;6;🙏🙏🎉🎉;🙏🙏🎉🎉;11.09.25;afonja_ba;27500;12.09.25;0,0;0,6597;;;;8;4,0;;emoji_only
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;7;Parabéns;Congratulations;11.09.25;afonja_ba;27500;12.09.25;0,5994;0,5994;;;;8;;;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;8;Feliz novo ciclo, Mãe Ana!;Happy new cycle, Mother Ana!;10.09.25;afonja_ba;27500;12.09.25;0,6588;0,6114;;;;26;;1,0;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;9;Feliz aniversário Ana;Happy birthday, Ana;11.09.25;afonja_ba;27500;12.09.25;0,6249;0,5719;;;;21;;;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;10;Parabéns irmã Xangô lhe abençoe sempre;Congratulations, sister. May Xangô always bless you.;10.09.25;afonja_ba;27500;12.09.25;0,8934;0,8934;;;;38;;1,0;congratulations
