post_id;post_link;post_type;comment_id;comment_pt;comment_en;timestamp;source_account;terreiro_size;data_collection_date;sentiment_vader_pt;sentiment_vader_en;sentiment_llm;label_manual;notes;comment_length;emoji_count;religious_terms;interaction_type
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;1;Minha avó de Santo linda mó jubá Mãe Ana Ty Sángö;My beautiful grandmother from Santo, Mother Ana Ty Sángö;11.09.25;afonja_ba;27500;12.09.25;;;;;;49;;4;congratulations
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;2;Axé 🙌🏾;Axé 🙌🏾;12.09.25;afonja_ba;27500;12.09.25;;;;;;8;1;1;axé
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;3;Sua benção yá Ana que Olorún, sangô e ósún abençoe ricamente e sempre e lhe dê vida longa.;Your blessing, Ana, may Olorún, Sangô, and ósún bless you richly and always and grant you a long life.;11.09.25;afonja_ba;27500;12.09.25;;;;;;90;;4;blessing
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;4;👏👏👏👏;👏👏👏👏;11.09.25;afonja_ba;27500;12.09.25;;;;;;8;4;;emoji_only
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;5;Feliz aniversário, Mãe Ana. Sua benção, vida longa pra senhora!🎁🎂🎊🎉🍭🍬🙏🏽🙏🏽☘️☘️👏🏾👏🏾👏🏾😘;Happy birthday, Mother Ana. Bless you, and may you live a long life!🎁🎂🎊🎉🍭🍬🙏🏽🙏🏽☘️☘️👏🏾👏🏾👏🏾😘;11.09.25;afonja_ba;27500;12.09.25;;;;;;101;15;1;congratulations
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;6;🙏🙏🎉🎉;🙏🙏🎉🎉;11.09.25;afonja_ba;27500;12.09.25;;;;;;8;4;;emoji_only
1;https://www.instagram.com/p/DObot76DmZP/;Birthday wishes;7;Parabéns;Congratulations;11.09.25;afonja_ba;27500;12.09.25;;;;;;8;;;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;8;Feliz novo ciclo, Mãe Ana!;Happy new cycle, Mother Ana!;10.09.25;afonja_ba;27500;12.09.25;;;;;;26;;1;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;9;Feliz aniversário Ana;Happy birthday, Ana;11.09.25;afonja_ba;27500;12.09.25;;;;;;21;;;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;10;Parabéns irmã Xangô lhe abençoe sempre;Congratulations, sister. May Xangô always bless you.;10.09.25;afonja_ba;27500;12.09.25;;;;;;38;;1;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;11;Xangô e Oxum lhe dê saúde e longevidade 🕊️;May Xangô and Oxum grant you health and longevity.;10.09.25;afonja_ba;27500;12.09.25;;;;;;43;1;2;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;12;Xangô e Oxum dê a senhora saúde, prosperidade e muitas alegrias.;Xangô and Oxum, grant her health, prosperity, and much joy.;10.09.25;afonja_ba;27500;12.09.25;;;;;;64;;2;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;13;Kaô!👏👏👏👏👏🔥;Kaô!👏👏👏👏👏🔥;10.09.25;afonja_ba;27500;12.09.25;;;;;;16;6;1;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;14;Amo e respeito tanto, presente de Xangô 💎♥️;I love and respect you so much, gift from Xangô 💎♥️;10.09.25;afonja_ba;27500;12.09.25;;;;;;44;2;1;praise
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;15;Que Deus e xango lhe cubra com muita saude paz e prosperidade;May God and Xango bless you with good health, peace, and prosperity.;11.09.25;afonja_ba;27500;12.09.25;;;;;;61;;2;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;16;Feliz novo giro solar, Mãe Ana! Que venha pleno de saúde e alegrias❤️;Happy new solar cycle, Mother Ana! May it be filled with health and joy❤️;11.09.25;afonja_ba;27500;12.09.25;;;;;;69;1;1;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;17;Parabéns Mãe Ana, que Pai Xangô continue abençoando sua caminhada!!!🎂💐;Congratulations, Mother Ana! May Father Xangô continue to bless your journey!;10.09.25;afonja_ba;27500;12.09.25;;;;;;72;2;2;congratulations
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;18;Viva! Viva! Viva nossa Ìyá!;Long live! Long live! Long live our Ìyá!;10.09.25;afonja_ba;27500;12.09.25;;;;;;27;;1;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;19;Xango e Oxum lhe traga sempre o calor da vida com alegrias e realizações infinitas!! ❤️💛;May Xango and Oxum always bring you the warmth of life with endless joy and accomplishments! ❤️💛;10.09.25;afonja_ba;27500;12.09.25;;;;;;89;2;2;blessing
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;20;👏👏👏👏👏👏axé;👏👏👏👏👏👏axé;10.09.25;afonja_ba;27500;12.09.25;;;;;;15;6;1;axé
2;https://www.instagram.com/p/DObh68YDqWJ/;Birthday wishes;21;👏👏;👏👏;10.09.25;afonja_ba;27500;12.09.25;;;;;;4;2;;emoji_only
